EmployeeID,Name,Gender,Age,Department,JobRole,HireDate,Salary,PerformanceRating,Attrition,Education,MaritalStatus,YearsAtCompany,Overtime,JobSatisfaction,City
1,Employee 1,Female,22,IT,Analyst,2017-08-08,891666,4,No,Diploma,Married,2,No,2,Ahmedabad
2,Employee 2,Male,23,HR,Manager,2019-12-23,1045765,2,No,Bachelor,Married,3,No,4,Ahmedabad
3,Employee 3,Male,40,Marketing,Specialist,2022-08-27,1453259,4,No,Bachelor,Married,3,Yes,4,Ahmedabad
4,Employee 4,Female,42,Operations,Associate,2023-03-28,284994,5,No,Master,Married,3,Yes,4,Mumbai
5,Employee 5,Female,40,Support,Analyst,2023-09-22,1130790,3,No,Bachelor,Married,2,Yes,4,Chennai
6,Employee 6,Female,21,Finance,Specialist,2023-04-12,1724609,2,Yes,Bachelor,Married,1,No,5,Mumbai
7,Employee 7,Female,47,Finance,Executive,2022-11-18,634040,4,No,Master,Married,3,No,3,Delhi
8,Employee 8,Male,24,Finance,Associate,2019-07-22,1454965,1,No,Bachelor,Single,4,Yes,2,Ahmedabad
9,Employee 9,Male,53,HR,Analyst,2018-08-09,1712159,5,No,Bachelor,Single,7,No,1,Pune
10,Employee 10,Male,58,Finance,Associate,2021-07-23,1324000,1,No,Bachelor,Married,4,No,1,Delhi
11,Employee 11,Male,53,Marketing,Manager,2024-01-27,1517486,1,No,Bachelor,Single,2,Yes,4,Ahmedabad
12,Employee 12,Female,37,Finance,Executive,2019-01-17,374683,4,No,Bachelor,Single,7,Yes,2,Chennai
13,Employee 13,Female,60,Support,Executive,2016-02-01,1278502,1,No,Master,Single,10,Yes,1,Pune
14,Employee 14,Female,51,Sales,Associate,2019-04-10,1129594,5,No,Bachelor,Married,7,Yes,5,Hyderabad
15,Employee 15,Male,55,HR,Engineer,2024-06-03,1196835,4,No,Master,Married,2,No,1,Pune
16,Employee 16,Male,43,Support,Manager,2016-01-03,694846,3,Yes,Master,Married,10,No,1,Bengaluru
17,Employee 17,Female,42,IT,Analyst,2016-12-03,809865,2,No,Bachelor,Single,9,Yes,5,Chennai
18,Employee 18,Female,22,Finance,Executive,2018-06-20,1182806,5,No,Master,Married,2,Yes,3,Bengaluru
19,Employee 19,Female,21,Finance,Engineer,2024-01-20,355535,4,No,Master,Single,1,No,2,Chennai
20,Employee 20,Male,42,IT,Associate,2017-04-16,1409518,1,No,Bachelor,Single,9,Yes,1,Ahmedabad
21,Employee 21,Male,32,Sales,Associate,2015-04-15,1559377,3,No,Bachelor,Married,11,Yes,2,Delhi
22,Employee 22,Female,32,Sales,Engineer,2024-12-13,786328,1,No,Master,Married,1,Yes,4,Mumbai
23,Employee 23,Male,37,Support,Specialist,2026-06-08,1214439,1,No,Diploma,Single,0,Yes,4,Ahmedabad
24,Employee 24,Female,21,Sales,Specialist,2025-04-28,1225227,3,No,Master,Single,1,Yes,3,Delhi
25,Employee 25,Female,52,Marketing,Associate,2024-05-07,663543,1,No,Master,Single,2,Yes,1,Mumbai
26,Employee 26,Female,52,Sales,Executive,2017-11-13,1118846,2,No,Master,Married,8,Yes,4,Delhi
27,Employee 27,Male,35,Finance,Analyst,2020-08-20,1362018,5,No,Diploma,Married,5,Yes,2,Pune
28,Employee 28,Female,40,Operations,Manager,2017-08-02,1249257,5,No,Bachelor,Single,8,No,1,Delhi
29,Employee 29,Male,58,Sales,Manager,2015-08-01,1179906,5,Yes,Bachelor,Single,10,No,3,Hyderabad
30,Employee 30,Male,36,IT,Executive,2015-11-04,353528,3,Yes,Diploma,Single,10,No,3,Ahmedabad
31,Employee 31,Female,52,Sales,Manager,2019-12-02,1507304,2,No,Master,Married,6,No,1,Delhi
32,Employee 32,Male,46,Operations,Specialist,2015-01-11,673935,2,No,Diploma,Single,11,No,4,Delhi
33,Employee 33,Male,45,Finance,Analyst,2023-05-28,324251,3,No,Master,Single,3,No,3,Pune
34,Employee 34,Male,33,Finance,Specialist,2025-02-20,1161662,2,No,Master,Married,1,No,3,Bengaluru
35,Employee 35,Male,57,Finance,Executive,2016-06-13,1230726,2,No,Bachelor,Married,10,Yes,5,Delhi
